edge_id,kind,walls,endpoints,final_historical_incidence,provenance
49,BOUNDARY-ORBIT,m,"[27, 18]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
50,BOUNDARY-ORBIT,l,"[19, 29]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
51,BOUNDARY-ORBIT,n,"[29, 28]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
52,BOUNDARY-ORBIT,k,"[28, 10]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
53,BOUNDARY-ORBIT,m,"[20, 30]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION ; PROVEN-SOURCE-EXACT-PROPAGATION-FROM-e96-COUNTERFACTUAL-117-GATE
54,BOUNDARY-ORBIT,k,"[30, 21]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION ; PROVEN-SOURCE-EXACT-PROPAGATION-FROM-e96-COUNTERFACTUAL-117-GATE
55,BOUNDARY-ORBIT,n,"[12, 30]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
56,BOUNDARY-ORBIT,l,"[31, 12]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
57,BOUNDARY-ORBIT,g,"[22, 31]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
58,BOUNDARY-ORBIT,m,"[23, 32]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
59,BOUNDARY-ORBIT,h,"[32, 22]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
60,BOUNDARY-ORBIT,n,"[28, 33]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
61,BOUNDARY-ORBIT,g,"[33, 23]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
62,BOUNDARY-ORBIT,l|n,"[24, 34]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
63,BOUNDARY-ORBIT,h,"[34, 26]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
64,BOUNDARY-ORBIT,n,"[34, 27]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
65,BOUNDARY-ORBIT,h,"[36, 35]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
66,BOUNDARY-ORBIT,g,"[35, 19]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
67,BOUNDARY-ORBIT,m,"[18, 36]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
68,BOUNDARY-ORBIT,l,"[37, 18]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
69,BOUNDARY-ORBIT,k,"[27, 37]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
70,BOUNDARY-ORBIT,n,"[35, 29]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
71,BOUNDARY-ORBIT,g,"[38, 33]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
72,BOUNDARY-ORBIT,m,"[29, 38]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
73,BOUNDARY-ORBIT,g|n,"[39, 40]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
74,BOUNDARY-ORBIT,l|n,"[40, 21]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
75,BOUNDARY-ORBIT,m,"[30, 39]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
76,BOUNDARY-ORBIT,g,"[31, 41]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
77,BOUNDARY-ORBIT,m,"[41, 42]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
78,BOUNDARY-ORBIT,h,"[42, 30]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-EXACT-PROPAGATION-FROM-e96-COUNTERFACTUAL-117-GATE
79,BOUNDARY-ORBIT,m,"[32, 41]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
80,BOUNDARY-ORBIT,g,"[23, 60]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
81,BOUNDARY-ORBIT,h,"[33, 43]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
82,BOUNDARY-ORBIT,m,"[43, 23]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
83,BOUNDARY-ORBIT,k|l,"[34, 45]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
84,BOUNDARY-ORBIT,m,"[45, 44]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
85,BOUNDARY-ORBIT,h,"[44, 27]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
86,BOUNDARY-ORBIT,m,"[36, 37]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
87,BOUNDARY-ORBIT,n,"[37, 46]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
88,BOUNDARY-ORBIT,g,"[46, 35]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
89,BOUNDARY-ORBIT,h,"[44, 37]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
90,BOUNDARY-ORBIT,m,"[48, 29]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
91,BOUNDARY-ORBIT,l,"[35, 47]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
92,BOUNDARY-ORBIT,g,"[47, 48]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
93,BOUNDARY-ORBIT,g,"[49, 38]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
94,BOUNDARY-ORBIT,l,"[29, 49]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
95,BOUNDARY-ORBIT,l,"[50, 39]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
96,BOUNDARY-ORBIT,k,"[30, 50]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; FINAL-SEED-BSB-P084-STRONG-EXACT
97,BOUNDARY-ORBIT,m,"[42, 50]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-EXACT-PROPAGATION-FROM-e96-COUNTERFACTUAL-117-GATE
98,BOUNDARY-ORBIT,n,"[45, 52]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
99,BOUNDARY-ORBIT,g,"[52, 51]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
100,BOUNDARY-ORBIT,l,"[51, 37]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
101,BOUNDARY-ORBIT,k,"[53, 54]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
102,BOUNDARY-ORBIT,n,"[54, 35]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
103,BOUNDARY-ORBIT,h,"[46, 53]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
104,BOUNDARY-ORBIT,g,"[51, 46]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
105,BOUNDARY-ORBIT,g,"[48, 49]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
106,BOUNDARY-ORBIT,m,"[55, 38]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
107,BOUNDARY-ORBIT,m,"[48, 55]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
108,BOUNDARY-ORBIT,g|m,"[39, 61]",PROVEN,PROVEN-SOURCE-HAX-INCIDENCE
109,BOUNDARY-ORBIT,h|k,"[52, 56]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
110,BOUNDARY-ORBIT,n,"[56, 46]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT
111,BOUNDARY-ORBIT,k|l,"[45, 57]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
112,BOUNDARY-ORBIT,g|k,"[57, 52]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
113,BOUNDARY-ORBIT,g,"[46, 58]",PROVEN,PROVEN-SOURCE-EXACT-PROPAGATION-IN-FINAL-P084-REALIZATION
114,BOUNDARY-ORBIT,l,"[58, 53]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
115,BOUNDARY-ORBIT,h,"[56, 58]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT
116,BOUNDARY-ORBIT,h|k,"[56, 59]",PROVEN,PARTIAL-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
117,BOUNDARY-ORBIT,k,"[59, 53]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
118,DECK-FIXED-MIRROR,,"[41, 60]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
119,DECK-FIXED-MIRROR,,"[50, 41]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
120,DECK-FIXED-MIRROR,,"[43, 60]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
121,DECK-FIXED-MIRROR,,"[47, 54]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
122,DECK-FIXED-MIRROR,,"[50, 61]",PROVEN,STRONG-EXACT-TRIANGULATED-STROKE-SUPPORT ; PROVEN-SOURCE-HAX-INCIDENCE
