edge_id	figure	source_class	wall	target_class	witness_records	source_status	raster_status
Fig3:QEDGE:025	Fig3	8	g	4	17,34	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:026	Fig3	8	k	7	17,34	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:027	Fig3	8	n	12	17,34	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:028	Fig3	9	k	6	8,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:029	Fig3	9	m	4	8,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:030	Fig3	9	n	10	8,31	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:031	Fig3	10	g	10	4,32	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:032	Fig3	10	h	6	4,32	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:033	Fig3	10	m	9	4,32	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:034	Fig3	10	n	11	4,32	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:035	Fig3	11	g	10	2,36	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:036	Fig3	11	k	15	2,36	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:037	Fig3	11	n	14	2,36	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:038	Fig3	12	g	8	15,37	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:039	Fig3	12	k	16	15,37	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:040	Fig3	12	n	23	15,37	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:041	Fig3	13	g	4	6,38	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:042	Fig3	13	k	14	6,38	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:043	Fig3	13	n	22	6,38	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:044	Fig3	14	g	14	3,40,45	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:045	Fig3	14	h	13	3,40,45	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:046	Fig3	14	k	15	3,40,45	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:047	Fig3	14	m	22	3,40,45	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:048	Fig3	14	n	11	3,40,45	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:049	Fig3	15	g	14	1,39	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:050	Fig3	15	k	19	1,39	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:051	Fig3	15	l	11	1,39	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:052	Fig3	15	n	15	1,39	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:053	Fig3	16	g	23	9,41	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:054	Fig3	16	k	18	9,41	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:055	Fig3	16	l	12	9,41	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:056	Fig3	16	n	22	9,41	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:057	Fig3	17	g	23	21,47	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:058	Fig3	17	k	21	21,47	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:059	Fig3	17	n	25	21,47	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:060	Fig3	18	h	16	10,46	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:061	Fig3	18	k	18	10,46	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:062	Fig3	18	m	22	10,46	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:063	Fig3	18	n	24	10,46	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:064	Fig3	19	h	15	0,44	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:065	Fig3	19	k	19	0,44	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:066	Fig3	19	m	15	0,44	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:067	Fig3	19	n	19	0,44	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:068	Fig3	20	k	20	28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:069	Fig3	20	m	25	28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:070	Fig3	20	n	26	28	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:071	Fig3	21	h	17	22	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:072	Fig3	21	k	21	22	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:073	Fig3	21	m	25	22	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:074	Fig3	21	n	24	22	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:075	Fig3	22	g	14	5,43	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:076	Fig3	22	k	18	5,43	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:077	Fig3	22	l	13	5,43	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:078	Fig3	22	n	16	5,43	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:079	Fig3	23	g	16	14,42	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:080	Fig3	23	k	17	14,42	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:081	Fig3	23	l	12	14,42	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:082	Fig3	24	g	18	16	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:083	Fig3	24	k	21	16	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:084	Fig3	24	l	18	16	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:085	Fig3	24	n	21	16	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:086	Fig3	25	g	21	25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:087	Fig3	25	k	20	25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:088	Fig3	25	l	17	25	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:089	Fig3	26	g	20	33	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
Fig3:QEDGE:090	Fig3	26	l	20	33	PROVEN-EXACT-HISTORICAL-WALL-ADJACENCY	NOT-INDIVIDUALLY-BOUND; FIGURE-SPECIFIC-RASTER-CARRIER-ONLY
